# NAME    IDENT      Lbda_mean    Lbeff(Vega)       FWHM     AB-cor  TG-cor  VEGA  M_sun(AB) CALIB    Lb_eff   Fac_corr
up           1         0.3783         0.3859         0.0704   0.424  99.990 -20.709   6.115   0         0.3783  1.000
gp           2         0.4858         0.4763         0.1440  -0.088  -0.248 -20.727   5.075   0         0.4858  1.000
rp           3         0.6253         0.6174         0.1219   0.155   0.268 -21.530   4.646   0         0.6253  1.000
ip           4         0.7696         0.7619         0.1368   0.392   0.610 -22.221   4.533   0         0.7696  1.000
zp           5         0.8904         0.8847         0.0907   0.526   0.769 -22.672   4.515   0         0.8904  1.000
Y            6         1.0202         1.0171         0.1001   0.601   0.815 -23.049   4.513   0         1.0202  1.000
J            7         1.2502         1.2434         0.1601   0.917  99.990 -23.805   4.563   0         1.2502  1.000
H            8         1.6353         1.6202         0.2901   1.356  99.990 -24.823   4.695   0         1.6353  1.000
K            9         2.2004         2.1829         0.3400   1.868  99.990 -25.981   5.165   0         2.2004  1.000
IRAC_1      10         3.5634         3.5133         0.7444   2.788  99.990 -27.943   6.061   0         3.5634  1.000
IRAC_2      11         4.5110         4.4429         1.0119   3.255  99.990 -28.922   6.559   0         4.5110  1.000
