ID,z,up,gp,rp,ip,zp,Y,J,H,K,IRAC_1,IRAC_2,up_err,gp_err,rp_err,ip_err,zp_err,Y_err,J_err,H_err,K_err,IRAC_1_err,IRAC_2_err
9,0.08,17.696,17.261,17.265,16.857,16.932,16.625,16.76,16.687,16.828,26.37,26.37,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-1,-1
18,0.16,20.524,18.928,17.865,17.335,17.098,16.82,16.534,16.407,16.333,17.108,17.388,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
27,0.24,20.035,18.753,17.954,17.597,17.347,17.076,16.725,16.609,16.446,17.266,17.507,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
36,0.16,20.267,19.023,18.348,18.024,17.785,17.507,17.222,17.119,17.071,17.871,18.165,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
45,0.08,19.346,18.752,18.566,18.322,18.171,17.974,17.921,17.884,18.055,18.829,19.362,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.011
54,0.16,20.628,19.37,18.729,18.391,18.13,17.889,17.585,17.48,17.428,18.208,18.558,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
63,0.16,21.513,19.941,18.845,18.332,18.077,17.835,17.541,17.396,17.321,18.118,18.377,0.011,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
72,0.02,19.46,19.085,18.927,18.878,18.725,18.479,18.627,18.528,18.793,26.37,26.37,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-1,-1
81,0.12,20.371,19.408,18.963,18.712,18.565,18.454,18.312,18.198,18.266,19.025,19.389,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.011,0.011
90,0.12,20.912,19.725,19.14,18.779,18.544,18.267,18.037,17.905,17.936,18.709,19.06,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.011
