# ID z up gp rp ip zp Y J H K IRAC_1 IRAC_2 up_err gp_err rp_err ip_err zp_err Y_err J_err H_err K_err IRAC_1_err IRAC_2_err 
9 0.080 17.696 17.261 17.265 16.857 16.932 16.625 16.760 16.687 16.828 26.370 26.370 0.010 0.010 0.010 0.010 0.010 0.010 0.010 0.010 0.010 -1.000 -1.000
18 0.160 20.524 18.928 17.865 17.335 17.098 16.820 16.534 16.407 16.333 17.108 17.388 0.010 0.010 0.010 0.010 0.010 0.010 0.010 0.010 0.010 0.010 0.010
27 0.240 20.035 18.753 17.954 17.597 17.347 17.076 16.725 16.609 16.446 17.266 17.507 0.010 0.010 0.010 0.010 0.010 0.010 0.010 0.010 0.010 0.010 0.010
36 0.160 20.267 19.023 18.348 18.024 17.785 17.507 17.222 17.119 17.071 17.871 18.165 0.010 0.010 0.010 0.010 0.010 0.010 0.010 0.010 0.010 0.010 0.010
45 0.080 19.346 18.752 18.566 18.322 18.171 17.974 17.921 17.884 18.055 18.829 19.362 0.010 0.010 0.010 0.010 0.010 0.010 0.010 0.010 0.010 0.010 0.011
54 0.160 20.628 19.370 18.729 18.391 18.130 17.889 17.585 17.480 17.428 18.208 18.558 0.010 0.010 0.010 0.010 0.010 0.010 0.010 0.010 0.010 0.010 0.010
63 0.160 21.513 19.941 18.845 18.332 18.077 17.835 17.541 17.396 17.321 18.118 18.377 0.011 0.010 0.010 0.010 0.010 0.010 0.010 0.010 0.010 0.010 0.010
72 0.020 19.460 19.085 18.927 18.878 18.725 18.479 18.627 18.528 18.793 26.370 26.370 0.010 0.010 0.010 0.010 0.010 0.010 0.010 0.010 0.010 -1.000 -1.000
81 0.120 20.371 19.408 18.963 18.712 18.565 18.454 18.312 18.198 18.266 19.025 19.389 0.010 0.010 0.010 0.010 0.010 0.010 0.010 0.010 0.010 0.011 0.011
90 0.120 20.912 19.725 19.140 18.779 18.544 18.267 18.037 17.905 17.936 18.709 19.060 0.010 0.010 0.010 0.010 0.010 0.010 0.010 0.010 0.010 0.010 0.011
99 0.140 20.185 19.488 19.201 19.052 18.877 18.687 18.552 18.555 18.639 19.376 19.825 0.010 0.010 0.010 0.010 0.010 0.010 0.010 0.010 0.010 0.011 0.011
108 0.280 22.290 20.660 19.191 18.618 18.307 18.102 17.699 17.490 17.290 18.152 18.294 0.013 0.011 0.010 0.010 0.010 0.010 0.010 0.010 0.010 0.010 0.010
117 0.100 19.970 19.364 19.301 18.989 19.032 18.887 18.849 18.778 18.924 26.370 26.370 0.010 0.010 0.010 0.010 0.010 0.010 0.010 0.010 0.010 -1.000 -1.000
126 0.060 20.174 19.606 19.451 19.207 19.044 18.844 18.801 18.785 18.986 19.778 20.290 0.010 0.010 0.010 0.010 0.010 0.010 0.010 0.010 0.010 0.011 0.013
135 0.200 20.474 19.821 19.412 19.319 19.128 18.964 18.789 18.775 18.789 19.544 19.939 0.010 0.010 0.010 0.010 0.010 0.010 0.010 0.010 0.010 0.011 0.012
144 0.360 20.400 19.963 19.376 19.251 19.105 18.951 18.676 18.593 18.505 19.256 19.506 0.010 0.010 0.010 0.010 0.010 0.010 0.010 0.010 0.010 0.011 0.011
153 0.160 20.962 20.027 19.468 19.239 19.103 18.947 18.811 18.705 18.701 19.476 19.832 0.010 0.011 0.010 0.010 0.010 0.010 0.010 0.010 0.010 0.011 0.011
162 0.280 21.145 20.299 19.520 19.244 19.096 18.957 18.781 18.673 18.513 19.349 19.574 0.011 0.011 0.010 0.010 0.010 0.010 0.010 0.010 0.010 0.011 0.011
171 0.080 20.033 19.617 19.612 19.192 19.297 18.982 19.138 19.037 19.189 26.370 26.370 0.010 0.010 0.010 0.010 0.010 0.010 0.010 0.010 0.010 -1.000 -1.000
180 0.280 22.699 21.073 19.576 18.997 18.702 18.490 18.111 17.915 17.690 18.553 18.708 0.014 0.012 0.010 0.010 0.010 0.010 0.010 0.010 0.010 0.010 0.010
189 0.100 20.339 19.779 19.681 19.385 19.445 19.282 19.238 19.174 19.320 26.370 26.370 0.010 0.010 0.010 0.010 0.010 0.010 0.010 0.010 0.010 -1.000 -1.000
198 0.220 21.743 20.457 19.706 19.339 19.077 18.850 18.471 18.393 18.255 19.068 19.308 0.011 0.011 0.010 0.010 0.010 0.010 0.010 0.010 0.010 0.011 0.011
207 0.060 20.387 19.876 19.777 19.623 19.577 19.442 19.376 19.314 19.461 26.370 26.370 0.010 0.010 0.010 0.010 0.010 0.010 0.010 0.010 0.010 -1.000 -1.000
216 0.220 21.808 20.545 19.790 19.431 19.179 18.930 18.578 18.455 18.353 19.151 19.414 0.011 0.011 0.010 0.010 0.010 0.010 0.010 0.010 0.010 0.011 0.011
225 0.420 21.972 20.960 19.741 19.334 19.095 18.851 18.463 18.154 17.985 18.603 18.857 0.012 0.012 0.010 0.010 0.010 0.010 0.010 0.010 0.010 0.010 0.010
234 0.180 20.911 20.268 19.897 19.762 19.602 19.415 19.230 19.237 19.273 20.024 20.429 0.010 0.011 0.010 0.010 0.010 0.010 0.010 0.010 0.010 0.012 0.013
243 0.260 21.477 20.605 19.871 19.621 19.467 19.305 19.159 19.043 18.895 19.733 19.941 0.011 0.011 0.010 0.010 0.010 0.010 0.010 0.010 0.010 0.011 0.012
252 0.160 20.999 20.320 19.980 19.847 19.680 19.512 19.343 19.345 19.397 20.152 20.597 0.010 0.011 0.010 0.010 0.010 0.010 0.010 0.010 0.010 0.012 0.014
261 0.220 20.916 20.446 20.050 19.902 19.922 19.859 19.701 19.644 19.607 26.370 26.370 0.010 0.011 0.011 0.010 0.010 0.010 0.010 0.010 0.010 -1.000 -1.000
270 0.320 23.332 21.562 19.996 19.385 19.053 18.830 18.470 18.210 17.961 18.829 18.963 0.019 0.014 0.010 0.010 0.010 0.010 0.010 0.010 0.010 0.010 0.010
279 0.060 20.491 20.117 20.080 19.818 19.751 19.424 19.596 19.516 19.705 26.370 26.370 0.010 0.011 0.011 0.010 0.010 0.010 0.010 0.010 0.010 -1.000 -1.000
288 0.200 22.105 20.835 20.114 19.751 19.509 19.224 18.904 18.813 18.689 19.494 19.785 0.012 0.011 0.011 0.010 0.010 0.010 0.010 0.010 0.010 0.011 0.011
297 0.260 23.132 21.518 20.089 19.530 19.243 19.041 18.649 18.461 18.246 19.107 19.278 0.017 0.014 0.011 0.010 0.010 0.010 0.010 0.010 0.010 0.011 0.011
306 0.320 22.240 21.035 20.047 19.679 19.442 19.201 18.805 18.604 18.410 19.217 19.411 0.012 0.012 0.011 0.010 0.010 0.010 0.010 0.010 0.010 0.011 0.011
315 0.380 23.711 21.824 20.135 19.460 19.087 18.851 18.502 18.190 17.961 18.686 18.907 0.023 0.015 0.011 0.010 0.010 0.010 0.010 0.010 0.010 0.010 0.010
324 0.160 21.048 20.503 20.159 20.011 20.023 19.960 19.820 19.786 19.831 26.370 26.370 0.011 0.011 0.011 0.010 0.011 0.010 0.010 0.010 0.010 -1.000 -1.000
333 0.240 21.806 20.885 20.220 19.972 19.800 19.661 19.499 19.400 19.255 20.084 20.350 0.011 0.012 0.011 0.010 0.010 0.010 0.010 0.010 0.010 0.012 0.013
342 0.340 22.368 21.222 20.227 19.803 19.591 19.322 18.930 18.736 18.528 19.315 19.508 0.013 0.012 0.011 0.010 0.010 0.010 0.010 0.010 0.010 0.011 0.011
351 0.080 21.105 20.503 20.326 20.099 19.929 19.733 19.690 19.632 19.834 20.590 21.121 0.011 0.011 0.011 0.011 0.010 0.010 0.010 0.010 0.010 0.014 0.017
360 0.140 21.123 20.541 20.269 20.088 20.132 20.030 19.906 19.861 19.913 26.370 26.370 0.011 0.011 0.011 0.011 0.011 0.011 0.010 0.010 0.010 -1.000 -1.000
369 0.240 21.262 20.761 20.334 20.260 20.211 20.195 19.855 19.962 19.925 26.370 26.370 0.011 0.011 0.011 0.011 0.011 0.011 0.010 0.010 0.010 -1.000 -1.000
378 0.320 22.513 21.335 20.338 19.954 19.724 19.455 19.094 18.882 18.697 19.489 19.683 0.013 0.013 0.011 0.010 0.010 0.010 0.010 0.010 0.010 0.011 0.011
387 0.400 22.481 21.442 20.284 19.865 19.617 19.391 18.999 18.720 18.548 19.170 19.440 0.013 0.013 0.011 0.010 0.010 0.010 0.010 0.010 0.010 0.011 0.011
396 0.180 21.391 20.744 20.362 20.234 20.076 19.890 19.688 19.709 19.754 20.501 20.913 0.011 0.011 0.011 0.011 0.011 0.010 0.010 0.010 0.010 0.013 0.016
405 0.280 22.532 21.324 20.428 20.066 19.803 19.549 19.190 19.012 18.830 19.689 19.881 0.014 0.013 0.011 0.011 0.010 0.010 0.010 0.010 0.010 0.011 0.012
414 0.400 22.568 21.543 20.378 19.972 19.718 19.473 19.097 18.812 18.621 19.284 19.500 0.014 0.014 0.011 0.010 0.010 0.010 0.010 0.010 0.010 0.011 0.011
